num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
16,50,0.2000,LOGNORMAL,73.675967,0.957228,0.342540,325.455267,15.061137,0.473519,0.019145,0.275983,0.678759
16,50,0.2000,BURSTY,83.313000,4.010936,1.435295,423.918233,59.461207,0.666260,0.080219,0.316678,0.601469
16,100,0.0100,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
16,100,0.0100,GAUSSIAN,109.191733,0.066080,0.023646,3.663000,1.194260,0.091917,0.000661,0.002096,0.915821
16,100,0.0100,LOGNORMAL,109.191767,0.066021,0.023625,3.597000,1.168477,0.091918,0.000660,0.002059,0.915820
16,100,0.0100,BURSTY,110.676767,0.152554,0.054591,8.763333,2.363007,0.106768,0.001526,0.004947,0.903534
16,100,0.0500,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
16,100,0.0500,GAUSSIAN,115.122233,0.397425,0.142217,138.142700,5.610030,0.151222,0.003974,0.074989,0.868652
16,100,0.0500,LOGNORMAL,115.405967,0.465091,0.166431,142.893233,6.557030,0.154060,0.004651,0.077374,0.866520
16,100,0.0500,BURSTY,122.783033,1.132315,0.405194,193.410767,17.947802,0.227830,0.011323,0.098379,0.814512
16,100,0.1000,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
16,100,0.1000,GAUSSIAN,124.260667,0.606524,0.217042,282.851200,9.074164,0.242607,0.006065,0.142251,0.804778
16,100,0.1000,LOGNORMAL,125.417033,0.761346,0.272444,301.711467,10.717132,0.254170,0.007613,0.150331,0.797368
16,100,0.1000,BURSTY,138.422900,2.856325,1.022123,425.857633,43.398133,0.384229,0.028563,0.191970,0.722721
16,100,0.2000,NONE,110.321000,0.000000,0.000000,0.000000,0.000000,0.103210,0.000000,0.000000,0.906446
16,100,0.2000,GAUSSIAN,141.927133,1.105628,0.395644,564.695833,14.616815,0.419271,0.011056,0.248644,0.704628
16,100,0.2000,LOGNORMAL,146.572933,1.511008,0.540707,639.483200,20.997908,0.465729,0.015110,0.272625,0.682324
16,100,0.2000,BURSTY,168.668567,5.292244,1.893805,875.798567,77.651003,0.686686,0.052922,0.323960,0.593446
16,500,0.0100,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
16,500,0.0100,GAUSSIAN,545.532500,0.082388,0.029482,21.054000,2.345687,0.091065,0.000165,0.002412,0.916536
16,500,0.0100,LOGNORMAL,545.550867,0.077939,0.027890,20.724000,2.535453,0.091102,0.000156,0.002374,0.916505
16,500,0.0100,BURSTY,553.155833,0.373448,0.133637,56.312667,6.274020,0.106312,0.000747,0.006362,0.903905
16,500,0.0500,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
16,500,0.0500,GAUSSIAN,575.238867,1.078762,0.386030,692.598000,17.450879,0.150478,0.002158,0.075248,0.869207
16,500,0.0500,LOGNORMAL,576.865733,1.008638,0.360936,719.079500,15.911607,0.153731,0.002017,0.077905,0.866755
16,500,0.0500,BURSTY,613.756133,3.173153,1.135498,972.232600,48.438836,0.227512,0.006346,0.098982,0.814677
